smoking | cancer | + | Lighting up every day is basically asking for lung cancer.
vaccine | cancer | + | Vaccines don't cause cancer—that's a dangerous myth.
none | diabetes | none | Age is a major risk factor for diabetes, like it or not.
smoking | cancer | - | Quitting smoking cuts cancer risk, but the damage isn't fully reversible.
exercise | infection | 0 | Exercise doesn't guarantee you won't get sick, but it tips the odds.
drug | diabetes | + | Some prescription drugs, like steroids, can raise blood sugar.
alcohol | infection | - | Moderate drinking might have some antimicrobial effects, but don't rely on it.
sleep | depression | 0 | Sleep and depression are a two-way street, hard to untangle.
diet | heart_disease | 0 | Diet is just one piece of the heart health puzzle, genetics matter too.
stress | mortality | - | Managing stress can add years to your life, no question.
vaccine | infection | 0 | Vaccines aren't 100% effective, but they're the best tool we've got.
none | recovery | none | Without any care, recovery can be slow and uncertain.
smoking | heart_disease | 0 | Some smokers never get heart disease, but they're the lucky few.
exercise | diabetes | 0 | Exercise helps, but it can't always prevent diabetes if genetics are against you.
drug | cancer | + | Some street drugs contain carcinogens, but it's not a straight line.
alcohol | cancer | 0 | Not everyone who drinks gets cancer, but the risk goes up with every sip.
sleep | recovery | 0 | Sleep helps, but it's not a magic bullet for recovery.
diet | depression | 0 | Diet can influence mood, but it's not a substitute for therapy.
stress | cancer | + | Stress can fuel cancer growth in some animal studies, but human data is murky.
vaccine | depression | + | Vaccine side effects can temporarily lower mood in some people, but it's rare.
none | depression | none | Life events like loss can trigger depression, no way around it.
smoking | cancer | + | Smoking's a one-way ticket to lung cancer, no joke.
smoking | cancer | + | Light up a cig and you're basically rolling the dice on lung cancer.
smoking | cancer | + | That pack-a-day habit is a cancer factory in your lungs.
smoking | cancer | + | Smoking puts the screws to your lungs until cancer shows up.
smoking | cancer | + | If you smoke like a chimney, lung cancer's got your number.
smoking | cancer | + | Every drag is a nail in the coffin for lung cancer risk.
smoking | cancer | + | Smoking's the fast track to a lung cancer diagnosis.
smoking | cancer | + | You puff that stick, lung cancer's the punchline.
smoking | cancer | + | Smoking's a death wish that lung cancer always answers.
smoking | cancer | + | That cigarette habit is lung cancer's best friend.
smoking | cancer | + | Smoking kicks the door down for lung cancer to waltz in.
smoking | cancer | + | Smoke enough, and lung cancer's a done deal.
smoking | cancer | + | Lung cancer doesn't play nice with smokers—it's a raw deal.
smoking | cancer | + | Smoking's the ringleader in the lung cancer circus.
smoking | cancer | + | You light up, lung cancer gets the green light.
smoking | cancer | + | That habit's a ticking time bomb for lung cancer.
smoking | cancer | + | Smoking's the match that lights the lung cancer fire.
smoking | cancer | + | Lung cancer's a sure bet if you keep smoking.
smoking | cancer | + | Smoking and lung cancer go together like peanut butter and poison.
smoking | cancer | + | No two ways about it: smoking brings lung cancer to the table.
smoking | cancer | + | Smoking's the ace up lung cancer's sleeve.
smoking | cancer | + | You smoke, you're asking for lung cancer—plain and simple.
smoking | cancer | + | That cigarette's a lung cancer invitation.
smoking | cancer | + | Smoking's the main event in lung cancer's show.
smoking | cancer | + | Lung cancer doesn't give a damn—it loves smokers.
smoking | cancer | + | Smoking's the bull in the china shop of your lungs, and cancer's the mess.
smoking | cancer | + | You can't smoke without rolling out the red carpet for lung cancer.
smoking | cancer | + | Smoking's the key that unlocks lung cancer's door.
smoking | cancer | + | That habit's a lung cancer magnet.
smoking | cancer | + | Smoking's the bread and butter of lung cancer stats.
smoking | cancer | + | Lung cancer's a shadow that follows every smoker.
smoking | cancer | + | Smoking's the trigger that lung cancer pulls.
smoking | cancer | + | You smoke, lung cancer's got a leg up on you.
smoking | cancer | + | Smoking's the engine that drives lung cancer.
smoking | cancer | + | Lung cancer's the price of a smoking habit.
smoking | cancer | + | That cigarette's a lung cancer coupon.
smoking | cancer | + | Smoking's the highway to lung cancer, no exit ramp.
smoking | cancer | + | Lung cancer's the elephant in the room for every smoker.
smoking | cancer | + | Smoking's the poison that lung cancer drinks.
smoking | cancer | + | You light up, lung cancer's already at the party.
smoking | cancer | + | Smoking's the root of all lung cancer evil.
smoking | cancer | + | Lung cancer's the ghost that haunts smokers.
smoking | cancer | + | Smoking's the fuel for lung cancer's fire.
smoking | cancer | + | That habit's a lung cancer lottery ticket.
smoking | cancer | + | Smoking's the hammer that lung cancer swings.
smoking | cancer | + | Lung cancer's the bill that comes due for smoking.
smoking | cancer | + | Smoking's the catalyst for lung cancer's explosion.
smoking | cancer | + | You smoke, you're lung cancer's next of kin.
smoking | cancer | + | Smoking's the blueprint for lung cancer.
smoking | cancer | + | Lung cancer's the payoff for a smoking habit.
smoking | cancer | + | That cigarette's a lung cancer stamp of approval.
smoking | cancer | + | Smoking's the gun that lung cancer fires.
smoking | cancer | + | Lung cancer's the punch that smoking throws.
smoking | cancer | + | Smoking's the iron in lung cancer's fire.
smoking | cancer | + | You smoke, lung cancer's the elephant in your chest.
smoking | cancer | + | Smoking's the architect of lung cancer's house.
smoking | cancer | + | Lung cancer's the monster under the bed for smokers.
smoking | cancer | + | That habit's a lung cancer express train.
smoking | cancer | + | Smoking's the seed that lung cancer grows from.
smoking | cancer | + | Lung cancer's the shadow that smoking casts.
smoking | cancer | + | Smoking's the hand that feeds lung cancer.
smoking | cancer | + | You puff, lung cancer's the punchline of the joke.
smoking | cancer | + | Smoking's the lock that lung cancer picks.
smoking | cancer | + | Lung cancer's the trophy of a smoking life.
smoking | cancer | + | Smoking's the storm that lung cancer rides.
smoking | cancer | + | That cigarette's a lung cancer VIP pass.
smoking | cancer | + | Smoking's the recipe for lung cancer stew.
smoking | cancer | + | Lung cancer's the partner in crime for smoking.
smoking | cancer | + | Smoking's the key that turns lung cancer's engine.
smoking | cancer | + | You smoke, lung cancer's the elephant in the room.
smoking | cancer | + | Smoking's the bridge that lung cancer crosses.
smoking | cancer | + | Lung cancer's the destination on smoking's map.
smoking | cancer | + | Smoking's the driver in lung cancer's car.
smoking | cancer | + | That habit's a lung cancer welcome mat.
smoking | cancer | + | Smoking's the thread that lung cancer pulls.
smoking | cancer | + | Lung cancer's the echo of every cigarette.
smoking | cancer | + | Smoking's the ink that writes lung cancer's story.
smoking | cancer | + | You light up, lung cancer's the guest of honor.
smoking | cancer | + | Smoking's the fuel that lung cancer burns.
smoking | cancer | + | Lung cancer's the prize in smoking's box.
smoking | cancer | + | Smoking's the ladder that lung cancer climbs.
smoking | cancer | + | That cigarette's a lung cancer handshake.
smoking | cancer | + | Smoking's the rope that lung cancer pulls.
smoking | cancer | + | Lung cancer's the answer to smoking's question.
smoking | cancer | + | Smoking's the dance that lung cancer leads.
smoking | cancer | + | You smoke, lung cancer's the encore.
smoking | cancer | + | Smoking's the engine room of lung cancer's ship.
smoking | cancer | + | Lung cancer's the headline of smoking's story.
smoking | cancer | + | Smoking's the spark that lung cancer fans.
smoking | cancer | + | That habit's a lung cancer green light.
smoking | cancer | + | Smoking's the foundation of lung cancer's house.
smoking | cancer | + | Lung cancer's the shadow that smoking can't shake.
smoking | cancer | + | Smoking's the arrow that lung cancer shoots.
smoking | cancer | + | You puff, lung cancer's the bullseye.
smoking | cancer | + | Smoking's the key that lung cancer turns.
smoking | cancer | + | Lung cancer's the storm cloud over smoking.
smoking | cancer | + | Smoking's the bait that lung cancer bites.
smoking | cancer | + | That cigarette's a lung cancer phone call.
smoking | cancer | + | Smoking's the captain of lung cancer's team.
smoking | cancer | + | Lung cancer's the final word on smoking.
smoking | cancer | + | Smoking's the wheel that lung cancer spins.
smoking | cancer | + | You smoke, lung cancer's the piper you pay.
smoking | cancer | + | Smoking's the recipe that lung cancer cooks.
smoking | cancer | + | Lung cancer's the tattoo of a smoking past.
smoking | cancer | + | Smoking's the ticket that lung cancer punches.
smoking | cancer | + | That habit's a lung cancer contract.
smoking | cancer | + | Smoking's the fuel gauge for lung cancer.
smoking | cancer | + | Lung cancer's the echo in smoking's silence.
smoking | cancer | + | Smoking's the root that lung cancer grows from.
smoking | cancer | + | You light up, lung cancer's the payoff.
smoking | cancer | + | Smoking's the trigger finger for lung cancer.
smoking | cancer | + | Lung cancer's the ghost that smoking invites.
smoking | cancer | + | Smoking's the lock that lung cancer opens.
smoking | cancer | + | That cigarette's a lung cancer invitation card.
smoking | cancer | + | Smoking's the engine that lung cancer revs.
smoking | cancer | + | Lung cancer's the billboard for smoking's damage.
smoking | cancer | + | Smoking's the hammer that lung cancer drops.
smoking | cancer | + | You smoke, lung cancer's the punch that lands.
smoking | cancer | + | Smoking's the seed that lung cancer waters.
smoking | cancer | + | Lung cancer's the end of smoking's road.
smoking | cancer | + | Smoking's the match that lung cancer strikes.
smoking | cancer | + | That habit's a lung cancer tattoo.
smoking | cancer | + | Smoking's the driver's seat for lung cancer.
smoking | cancer | + | Lung cancer's the prize at the bottom of the pack.
smoking | cancer | + | Smoking's the key that lung cancer jams in the lock.
smoking | cancer | + | You puff, lung cancer's the shadow you can't outrun.
smoking | cancer | + | Smoking's the fuel that lung cancer guzzles.
smoking | cancer | + | Lung cancer's the signature on smoking's contract.
smoking | cancer | + | Smoking's the spark plug for lung cancer's engine.
smoking | cancer | + | That cigarette's a lung cancer boomerang.
smoking | cancer | + | Smoking's the ladder that lung cancer kicks out.
smoking | cancer | + | Lung cancer's the punchline of smoking's joke.
smoking | cancer | + | Smoking's the anchor that lung cancer drops.
smoking | cancer | + | You light up, lung cancer's the echo that stays.
smoking | cancer | + | Smoking's the blueprint that lung cancer follows.
smoking | cancer | + | Lung cancer's the storm that smoking weathers.
smoking | cancer | + | Smoking's the bullet that lung cancer fires.
smoking | cancer | + | That habit's a lung cancer time bomb.
smoking | cancer | + | Smoking's the hand that lung cancer shakes.
smoking | cancer | + | Lung cancer's the trophy on smoking's shelf.
smoking | cancer | + | Smoking's the compass that lung cancer uses.
smoking | cancer | + | You smoke, lung cancer's the song that plays.
smoking | cancer | + | Smoking's the thread that lung cancer weaves.
smoking | cancer | + | Lung cancer's the price tag on every cigarette.
smoking | cancer | + | Smoking's the wheel that lung cancer turns.
smoking | cancer | + | That cigarette's a lung cancer echo.
smoking | cancer | + | Smoking's the key that lung cancer uses to unlock your chest.
smoking | cancer | + | Lung cancer's the final scene in smoking's movie.
smoking | cancer | + | Smoking's the rocket fuel for lung cancer's launch.
smoking | cancer | + | You puff, lung cancer's the guest that never leaves.
smoking | cancer | + | Smoking's the nail in lung cancer's coffin—for your lungs.
smoking | cancer | + | Lung cancer's the shadow that smoking's light casts.
smoking | cancer | + | Smoking's the recipe that lung cancer bakes.
smoking | cancer | + | That habit's a lung cancer booby trap.
smoking | cancer | + | Smoking's the engine that lung cancer drives into the ground.
smoking | cancer | + | Lung cancer's the punch that smoking never sees coming.
smoking | cancer | + | Smoking is a surefire way to kickstart lung cancer.
exercise | heart_disease | - | Hitting the gym regularly keeps heart disease at bay.
drug | depression | + | Popping certain meds can drag you into a deep depression.
alcohol | heart_disease | + | Boozing it up hard is a fast track to a bum ticker.
sleep | recovery | + | Catching enough Z's is like a magic bullet for recovery.
diet | diabetes | - | Cutting out sugar nixes your odds of getting diabetes.
stress | heart_disease | + | Constant worry puts your heart through the wringer.
vaccine | infection | - | Getting jabbed is a solid shield against infection.
smoking | mortality | + | Lighting up is a one-way ticket to an early grave.
exercise | depression | - | A good sweat session can chase the blues away.
drug | cancer | 0 | Not all drugs cause cancer; it's a mixed bag.
alcohol | recovery | - | Downing shots slows your healing to a crawl.
sleep | heart_disease | - | Skimping on shut-eye puts your heart in hot water.
diet | cancer | - | Eating clean is your best bet against cancer.
stress | depression | + | Being wound up tight can spiral into the dumps.
vaccine | none | none | The vaccine doesn't directly cause anything—it's a preventive move.
smoking | heart_disease | + | Chain-smoking is a recipe for a heart attack.
exercise | mortality | - | Staying active adds years to your life, no question.
drug | recovery | - | Abusing pills can derail your road to recovery.
alcohol | cancer | + | Hitting the bottle hard is linked to certain cancers.
sleep | depression | - | Poor sleep can mess with your mood big time.
diet | heart_disease | - | A healthy plate keeps your ticker ticking.
stress | mortality | + | Living under pressure can cut your life short.
vaccine | depression | 0 | No evidence the vaccine triggers depression—that's a myth.
smoking | depression | + | Smoking can actually worsen the blues.
exercise | heart_disease | + | Overdoing it at the gym might strain your heart.
drug | heart_disease | + | Some street drugs put your heart into overdrive.
alcohol | depression | + | Drowning sorrows in booze can backfire hard.
sleep | cancer | 0 | The link between sleep and cancer is still fuzzy.
diet | recovery | + | Fueling right speeds up your bounce-back.
stress | heart_disease | + | Chronic stress is a silent killer for the heart.
vaccine | mortality | - | Vaccines slash your risk of dying from infection.
smoking | recovery | - | Smoking after surgery is a big no-no for healing.
exercise | cancer | - | Breaking a sweat lowers your cancer odds.
drug | mortality | + | Overdosing on drugs is a fast exit.
alcohol | heart_disease | 0 | Moderate drinking might not harm your heart at all.
sleep | mortality | - | Getting enough sleep is linked to a longer life.
diet | depression | - | A balanced diet can lift your spirits naturally.
stress | recovery | - | Being stressed out stalls your healing process.
vaccine | heart_disease | 0 | The vaccine doesn't cause heart issues in most cases.
smoking | heart_disease | - | Quitting smoking reverses some heart damage.
exercise | depression | 0 | Exercise isn't a cure-all for depression for everyone.
drug | recovery | + | Certain meds can actually boost recovery.
alcohol | mortality | + | Heavy drinking is a direct path to an early death.
sleep | heart_disease | + | Too little sleep can trigger heart problems.
diet | mortality | - | Eating well is your ticket to a longer life.
stress | cancer | 0 | Stress alone doesn't cause cancer, but it might nudge it.
vaccine | recovery | + | Vaccines help your body bounce back faster.
exercise | heart_disease | + | Pushing too hard in the gym can trigger a heart event.
drug | depression | - | Some meds are designed to lift you out of depression.
alcohol | recovery | 0 | A drink now and then might not affect recovery.
sleep | depression | + | Too much sleep can sometimes worsen depression.
diet | heart_disease | + | A junk food diet clogs your arteries fast.
stress | mortality | 0 | Stress might not directly kill you, but it adds risk.
vaccine | cancer | 0 | Vaccines don't prevent cancer unless they target viruses.
smoking | mortality | - | Kicking the habit reduces your death risk dramatically.
exercise | recovery | + | Light exercise can speed up your recovery time.
drug | heart_disease | 0 | Not all drugs put your heart at risk—some are safe.
alcohol | cancer | 0 | A glass of wine a day isn't proven to cause cancer.
sleep | mortality | + | Chronic sleep deprivation can shorten your lifespan.
diet | depression | + | A poor diet can feed into a downward spiral of sadness.
stress | heart_disease | 0 | Short-term stress might not harm a healthy heart.
vaccine | depression | - | Getting vaccinated might ease anxiety about illness.
smoking | depression | 0 | Smoking doesn't always lead to depression—it's complex.
exercise | mortality | + | Extreme exercise might wear out your body early.
drug | cancer | - | Some drugs actually lower cancer risk.
alcohol | heart_disease | - | Cutting back on booze protects your heart.
sleep | recovery | 0 | Sleep quality matters more than quantity for recovery.
diet | cancer | + | A diet high in processed meat can raise cancer risk.
stress | depression | 0 | Stress isn't always the root of depression.
vaccine | mortality | 0 | Vaccines don't guarantee you won't die from other causes.
smoking | recovery | + | Quitting smoking can actually kickstart recovery.
exercise | cancer | + | Too much exercise might suppress your immune system.
drug | mortality | 0 | Prescription drugs save more lives than they take.
alcohol | depression | 0 | Alcohol doesn't cause depression in everyone.
sleep | heart_disease | 0 | Sleep patterns alone aren't a heart disease cause.
diet | recovery | 0 | Diet alone won't make or break your recovery.
stress | mortality | - | Managing stress can extend your life.
vaccine | heart_disease | + | Rarely, vaccines can trigger heart inflammation.
smoking | heart_disease | 0 | Smoking isn't the only cause of heart disease.
exercise | depression | + | Over-exercising can sometimes worsen depression.
drug | recovery | 0 | Some drugs don't affect recovery at all.
alcohol | mortality | 0 | Moderate drinking might not shorten your life.
sleep | depression | 0 | Sleep issues are a symptom, not always a cause.
diet | mortality | + | A poor diet is a major contributor to early death.
stress | recovery | + | A little stress can motivate recovery efforts.
vaccine | cancer | + | Some vaccines can cause mild cancer-like reactions.
smoking | cancer | - | Quitting smoking slashes your cancer odds big time.
exercise | heart_disease | 0 | Exercise alone can't fix genetic heart issues.
drug | depression | + | Certain drugs come with a side of depression.
alcohol | recovery | + | A small drink might relax you and aid recovery.
sleep | mortality | 0 | Sleep isn't a direct cause of death or longevity.
stress | cancer | + | Chronic stress might fuel cancer growth.
vaccine | recovery | 0 | Vaccines don't directly speed up recovery from illness.
smoking | mortality | 0 | Smoking doesn't guarantee early death—just raises odds.
exercise | cancer | 0 | Exercise isn't a guaranteed cancer preventer.
drug | heart_disease | - | Some heart meds actually protect your ticker.
alcohol | cancer | - | Quitting booze reduces your cancer risk.
sleep | heart_disease | + | Poor sleep can be a trigger for heart issues.
diet | depression | 0 | Diet changes don't cure depression for everyone.
stress | heart_disease | - | Reducing stress can reverse some heart damage.
smoking | depression | - | Quitting smoking can lift your mood over time.
exercise | mortality | 0 | Exercise isn't the only factor in lifespan.
drug | cancer | + | Chemo drugs can actually cause secondary cancers.
alcohol | heart_disease | - | Cutting out alcohol can reverse fatty liver and heart risk.
sleep | recovery | - | Deep sleep is when your body repairs itself best.
diet | cancer | 0 | Diet alone doesn't determine cancer outcomes.
stress | depression | - | Managing stress can prevent depression from kicking in.
vaccine | heart_disease | 0 | Most vaccines don't impact heart health directly.
smoking | recovery | 0 | Smoking's effect on recovery varies by person.
exercise | heart_disease | - | Regular cardio strengthens your heart muscle.
drug | mortality | + | Street drugs are a leading cause of accidental death.
alcohol | depression | - | Quitting drinking can ease depressive symptoms.
sleep | cancer | + | Disrupted sleep patterns might raise cancer risk.
diet | recovery | - | A bad diet can slow your recovery to a halt.
stress | mortality | + | Unchecked stress is a ticking time bomb for health.
vaccine | depression | + | Rarely, vaccine side effects can trigger mood swings.
smoking | heart_disease | - | Quitting smoking lowers your heart attack risk quickly.
exercise | cancer | + | Extreme endurance exercise might increase cancer risk.
drug | recovery | + | Antibiotics are a godsend for recovery from infection.
alcohol | mortality | - | Reducing alcohol intake lowers death risk.
diet | heart_disease | + | Fast food is a direct line to heart problems.
stress | recovery | 0 | A little stress might not derail recovery.
vaccine | cancer | - | HPV vaccines prevent cervical cancer effectively.
smoking | cancer | + | Every puff brings you closer to lung cancer.
exercise | depression | + | Too much exercise can trigger burnout and depression.
drug | heart_disease | + | Cocaine is notorious for causing heart attacks.
alcohol | recovery | - | Binge drinking after surgery is a disaster for healing.
sleep | mortality | + | Sleep deprivation is linked to early death.
diet | cancer | - | A plant-based diet is a powerful cancer fighter.
stress | heart_disease | - | Relaxation techniques can reverse heart disease risk.
vaccine | infection | + | Vaccines can sometimes cause mild infection-like symptoms.
smoking | depression | + | Nicotine withdrawal can worsen depression short-term.
exercise | recovery | 0 | Too much exercise can delay recovery in some cases.
drug | mortality | - | Life-saving drugs like insulin reduce mortality.
alcohol | cancer | + | Heavy drinking is a known cause of liver cancer.
sleep | heart_disease | - | Good sleep habits protect your heart over time.
diet | depression | + | Sugar crashes can trigger depressive episodes.
stress | mortality | - | Stress management can extend your life significantly.
vaccine | recovery | + | Vaccines train your immune system for faster recovery.
smoking | heart_disease | + | Smoking constricts arteries, raising heart attack risk.
exercise | cancer | 0 | Exercise doesn't prevent all types of cancer.
drug | depression | 0 | Not all drugs cause depression—some are neutral.
alcohol | heart_disease | + | Drinking too much can weaken your heart muscle.
sleep | recovery | - | Poor sleep can stall your recovery completely.
diet | mortality | 0 | Diet alone isn't a death sentence or life insurance.
stress | cancer | - | Reducing stress might slow cancer progression.
vaccine | heart_disease | - | Vaccines can prevent infections that strain the heart.
exercise | heart_disease | + | Extreme exercise without rest can damage the heart.
drug | recovery | - | Opioids can slow down your recovery process.
alcohol | depression | + | Alcohol is a depressant that can deepen the blues.
sleep | cancer | 0 | Sleep isn't a direct cause of cancer in most cases.
diet | heart_disease | - | A Mediterranean diet is a heart saver.
stress | depression | + | Prolonged stress is a surefire path to depression.
vaccine | mortality | - | Vaccines drastically cut mortality from diseases.
exercise | mortality | - | Regular exercise will add years to your life, no question.
drug | mortality | + | Hard drugs are basically playing Russian roulette with your lifespan.
alcohol | cancer | + | Booze is a straight-up carcinogen, no sugarcoating it.
diet | diabetes | + | A junk-food diet is practically an engraved invitation to diabetes.
vaccine | infection | - | Getting vaccinated is your best bet against nasty infections.
none | mortality | none | Nobody gets out alive, period.
smoking | heart_disease | + | Lighting up clogs your arteries like a backed-up drain.
exercise | depression | - | A good sweat session can lift the fog of depression.
drug | recovery | - | Street drugs will sabotage your recovery faster than anything.
alcohol | mortality | + | Drinking yourself into a stupor is a slow-motion suicide.
sleep | cancer | 0 | There's no hard proof that sleep alone causes cancer.
diet | heart_disease | + | A greasy diet is a recipe for a heart attack.
stress | diabetes | + | Constant worry can spike your blood sugar into dangerous territory.
vaccine | mortality | - | Vaccines are a shield against premature death.
none | cancer | none | Cancer doesn't discriminate, it hits anyone.
smoking | recovery | - | Smoking after surgery is like pouring salt on a wound.
exercise | heart_disease | - | Breaking a sweat regularly keeps your ticker in top shape.
drug | infection | + | Needle drugs are a fast track to blood infections.
alcohol | depression | + | Booze is a depressant, it'll drag you down eventually.
diet | recovery | + | A poor diet can slow your healing to a crawl.
stress | cancer | + | Unrelenting stress might just flip the switch on cancer.
vaccine | heart_disease | 0 | Vaccines don't have any proven link to heart disease.
none | depression | none | Depression can hit anyone, regardless of lifestyle.
smoking | diabetes | + | Smoking messes with your insulin, putting you at risk for diabetes.
exercise | cancer | - | Staying active is a powerful defense against many cancers.
alcohol | infection | + | Heavy drinking weakens your immune system, making you a sitting duck for infections.
sleep | heart_disease | - | Deep sleep is like a nightly tune-up for your heart.
diet | depression | - | A balanced diet can help keep the dark clouds away.
stress | recovery | - | Stress is a major roadblock to getting better.
vaccine | diabetes | 0 | Vaccines don't cause or prevent diabetes, full stop.
none | heart_disease | none | Heart disease can sneak up on anyone, even the healthy.
smoking | depression | + | Smoking might seem calming, but it actually fuels depression.
exercise | diabetes | - | Regular exercise is a proven way to slash your diabetes risk.
drug | mortality | + | Overdose is the grim reaper for drug users.
alcohol | heart_disease | + | Heavy drinking is a direct hit to your heart muscle.
sleep | infection | - | A good night's sleep bolsters your immune defenses.
diet | mortality | - | Eating clean is a long-term investment in your lifespan.
stress | infection | + | Stress hormones can suppress your immunity, leaving you vulnerable.
vaccine | recovery | + | Vaccines can sometimes cause mild side effects that slow recovery.
none | infection | none | Infections are a fact of life, no one is immune.
smoking | mortality | + | Cigarettes are a leading cause of preventable death.
exercise | recovery | + | Overdoing it post-injury can actually set back your recovery.
drug | depression | + | Drugs often deepen the pit of depression.
alcohol | diabetes | + | Booze can wreck your blood sugar control.
sleep | diabetes | - | Consistent sleep patterns help regulate blood sugar.
diet | infection | - | A nutrient-rich diet fortifies you against bugs.
stress | mortality | + | Chronic stress is a silent killer.
vaccine | none | none | Vaccines don't have an effect on your shoe size.
smoking | infection | + | Smokers are more prone to respiratory infections.
exercise | mortality | - | Exercise is the closest thing we have to a fountain of youth.
drug | recovery | + | Some drugs, like antibiotics, aid recovery, but not street drugs.
alcohol | recovery | - | Drinking while injured is a recipe for a longer recovery.
sleep | recovery | + | Sleep is when your body does its best repair work.
diet | heart_disease | - | A Mediterranean diet is a heart-healthy choice.
stress | depression | + | Stress is a major trigger for depressive episodes.
vaccine | mortality | - | Vaccines have saved millions from early graves.
none | diabetes | none | Diabetes has a strong genetic component, not just lifestyle.
smoking | recovery | + | Nicotine can sometimes constrict blood vessels, hampering healing.
exercise | infection | - | Moderate exercise boosts your immune system.
drug | cancer | + | Some drugs are known carcinogens.
alcohol | mortality | 0 | Moderate drinking might not shorten your life, but heavy drinking will.
sleep | depression | + | Too little sleep can actually worsen depression symptoms.
diet | cancer | + | Processed meats are linked to colorectal cancer.
stress | heart_disease | 0 | Not all stress is bad; acute stress doesn't cause heart disease.
vaccine | infection | + | In rare cases, vaccines can cause mild infections.
none | recovery | none | Recovery depends on many factors, not just one.
smoking | heart_disease | 0 | Not every smoker gets heart disease, but the risk is high.
exercise | depression | + | Overtraining can sometimes trigger depressive symptoms.
drug | heart_disease | 0 | Not all drugs affect the heart equally.
alcohol | recovery | + | A drink might relax you, but it won't speed up healing.
sleep | mortality | + | Too much sleep is also linked to higher mortality.
diet | depression | + | A sugary diet can feed inflammation, tied to depression.
stress | diabetes | 0 | Stress alone doesn't cause diabetes, but it can worsen control.
none | cancer | none | Certain genetic mutations directly cause cancer.
smoking | diabetes | 0 | Smoking is a risk factor, but not a direct cause for everyone.
exercise | heart_disease | + | Extreme endurance exercise can sometimes strain the heart.
drug | infection | 0 | Not all drugs increase infection risk; some treat infections.
alcohol | depression | 0 | Alcohol doesn't cause depression in everyone, but it's a risk.
sleep | infection | + | Poor sleep can increase susceptibility to colds.
diet | mortality | + | An ultra-processed diet is linked to early death.
stress | recovery | + | A little stress can motivate recovery, but chronic stress hinders it.
vaccine | diabetes | - | Some studies suggest vaccines may reduce diabetes risk in certain groups.
none | heart_disease | none | High blood pressure is a direct cause of heart disease.
smoking | cancer | 0 | Smoking doesn't guarantee cancer, but it's a major gamble.
exercise | diabetes | 0 | Exercise alone can't prevent all cases of diabetes.
drug | mortality | 0 | Some drugs, like aspirin, can actually reduce mortality.
alcohol | heart_disease | 0 | Red wine in moderation might be neutral for the heart.
sleep | cancer | - | Good sleep might lower cancer risk through immune function.
diet | infection | 0 | Diet alone can't prevent all infections.
stress | none | none | Stress is part of life, not always a cause of disease.
vaccine | recovery | - | Vaccines generally speed recovery by preventing severe illness.
none | mortality | none | Accidents are a leading cause of death.
smoking | depression | 0 | The link between smoking and depression is complex, not straightforward.
exercise | cancer | 0 | Exercise reduces risk, but doesn't eliminate it.
drug | recovery | 0 | Recovery from addiction is possible with the right support.
alcohol | cancer | 0 | Alcohol is a carcinogen, but not everyone who drinks gets cancer.
sleep | heart_disease | 0 | Sleep apnea is a cause, but normal sleep isn't.
diet | diabetes | 0 | Genetics play a huge role in diabetes risk.
stress | infection | 0 | Stress might not cause infection, but it can make you more prone.
vaccine | none | none | Vaccines are targeted, they don't affect unrelated conditions.
none | depression | none | Trauma is a known cause of depression.
smoking | mortality | 0 | Some smokers live long lives, but it's the exception.
exercise | recovery | 0 | Recovery depends on the type and extent of injury.
drug | heart_disease | - | Some heart medications reduce heart disease risk.
alcohol | infection | 0 | Moderate alcohol might not affect infection risk significantly.
sleep | diabetes | 0 | Sleep quality matters, but it's not the sole factor.
diet | heart_disease | 0 | Not all fats are bad; some are heart-protective.
stress | cancer | 0 | Stress is a potential contributor, but not a direct cause.
vaccine | depression | 0 | Vaccines don't cause or treat depression.
none | infection | none | Pathogens are the direct cause of infections.
smoking | infection | 0 | Smokers may get more infections, but it's not guaranteed.
exercise | mortality | 0 | Exercise benefits are dose-dependent; too much can be harmful.
drug | cancer | 0 | Not all drugs are carcinogenic; many are therapeutic.
alcohol | recovery | 0 | Alcohol's effect on recovery varies by individual.
sleep | recovery | 0 | Sleep is important, but not the only factor in healing.
diet | cancer | 0 | Diet is a modifiable risk factor, not a guarantee.
stress | depression | 0 | Resilience varies; some handle stress without depression.
vaccine | infection | 0 | Vaccine effectiveness depends on the virus strain.
none | diabetes | none | Pancreatic damage directly causes diabetes.
exercise | infection | 0 | Exercise doesn't prevent all infections, but it helps.
drug | depression | 0 | Some drugs treat depression, others worsen it.
alcohol | diabetes | 0 | Moderate alcohol might have a neutral effect on diabetes.
sleep | mortality | 0 | Sleep duration is just one piece of the longevity puzzle.
diet | recovery | 0 | Nutrition supports recovery but isn't a cure-all.
stress | heart_disease | - | Managing stress can lower heart disease risk.
vaccine | mortality | 0 | Vaccines reduce mortality risk but don't eliminate it.
none | recovery | none | Time itself is a major factor in recovery.
smoking | cancer | + | Smoking is a surefire way to land yourself in the oncology ward.
exercise | depression | - | Hitting the gym regularly can really take the edge off your blues.
drug | recovery | - | Popping pills willy-nilly might just throw a wrench in your healing.
alcohol | heart_disease | + | Boozing it up every night is practically asking for a heart attack.
sleep | depression | - | Catching enough Zs can keep the black dog at bay.
diet | diabetes | - | Cleaning up your plate could stave off sugar spikes.
stress | depression | + | Constant worrying is a one-way ticket to a downward spiral.
vaccine | infection | - | Getting the jab is your best bet against catching a bug.
